gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022401155,1610612759,San Antonio,Spurs,SAS,spurs,240:00,585.0,117.0,610.0,122.0,-25.0,-5.0,0.644,1.71,20.9,0.217,0.596,0.409,17.0,17.0,0.629,0.636,1.0,0.973,20.0,100.0,83.33,100.0,0.469
0022401153,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,680.0,136.0,606.1,121.2,73.9,14.8,0.5,3.71,17.8,0.364,0.612,0.481,7.0,7.0,0.587,0.603,1.0,0.967,19.9,99.5,82.92,100.0,0.546
0022401153,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,606.1,121.2,680.0,136.0,-73.9,-14.8,0.568,1.11,15.1,0.388,0.636,0.519,19.192,19.2,0.575,0.623,1.0,0.975,19.9,99.5,82.92,99.0,0.454
0022401146,1610612766,Charlotte,Hornets,CHA,hornets,240:00,505.1,101.0,626.3,125.3,-121.2,-24.2,0.595,1.47,17.1,0.2,0.63,0.423,15.152,15.2,0.525,0.549,1.0,0.991,19.8,99.0,82.5,99.0,0.394
0022401146,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,626.3,125.3,505.1,101.0,121.2,24.2,0.548,1.64,16.4,0.37,0.8,0.577,14.141,14.1,0.548,0.594,1.0,0.991,19.8,99.0,82.5,99.0,0.606
0022401149,1610612753,Orlando,Magic,ORL,magic,240:00,613.4,122.7,577.3,115.5,36.1,7.2,0.548,1.64,16.8,0.378,0.6,0.495,14.433,14.4,0.583,0.609,1.0,0.974,19.4,97.0,80.83,97.0,0.561
0022401149,1610612737,Atlanta,Hawks,ATL,hawks,240:00,577.3,115.5,613.4,122.7,-36.1,-7.2,0.625,1.39,17.7,0.4,0.622,0.505,18.557,18.6,0.534,0.573,1.0,0.991,19.4,97.0,80.83,97.0,0.439
0022401147,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,661.8,132.4,543.3,108.7,118.5,23.7,0.686,2.69,22.7,0.333,0.689,0.5,12.745,12.7,0.635,0.638,1.0,0.992,20.6,103.0,85.83,102.0,0.569
0022401147,1610612741,Chicago,Bulls,CHI,bulls,240:00,543.3,108.7,661.8,132.4,-118.5,-23.7,0.634,1.3,18.1,0.311,0.667,0.5,19.231,19.2,0.564,0.599,1.0,0.966,20.6,103.0,85.83,104.0,0.431
0022401150,1610612751,Brooklyn,Nets,BKN,nets,240:00,583.3,116.7,553.4,110.7,29.9,6.0,0.732,1.88,21.3,0.209,0.739,0.483,15.686,15.7,0.596,0.636,1.0,0.991,20.5,102.5,85.42,102.0,0.52
0022401150,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,553.4,110.7,583.3,116.7,-29.9,-6.0,0.667,1.53,18.6,0.261,0.791,0.517,16.505,16.5,0.549,0.596,1.0,0.991,20.5,102.5,85.42,103.0,0.48
